DATE,TIME,DATE.TIME,PLACE,PM2.5,DateTime
12/9/2015,17:25:30,12/9/2015 17:25,B801,0,2015-12-09 17:25:30
12/9/2015,17:30:00,12/9/2015 17:30,B801,48.3,2015-12-09 17:30:00
12/9/2015,17:35:00,12/9/2015 17:35,B801,50,2015-12-09 17:35:00
12/9/2015,17:40:00,12/9/2015 17:40,B801,49.5,2015-12-09 17:40:00
12/9/2015,17:45:00,12/9/2015 17:45,B801,48.2,2015-12-09 17:45:00
12/9/2015,17:50:00,12/9/2015 17:50,B801,46.7,2015-12-09 17:50:00
12/9/2015,17:55:00,12/9/2015 17:55,B801,46.6,2015-12-09 17:55:00
12/9/2015,18:00:00,12/9/2015 18:00,B801,45.1,2015-12-09 18:00:00
12/9/2015,18:05:00,12/9/2015 18:05,B801,45.5,2015-12-09 18:05:00
12/9/2015,18:10:00,12/9/2015 18:10,B801,44.3,2015-12-09 18:10:00
12/9/2015,18:15:00,12/9/2015 18:15,B801,43.3,2015-12-09 18:15:00
12/9/2015,18:20:00,12/9/2015 18:20,B801,43.6,2015-12-09 18:20:00
12/9/2015,18:25:00,12/9/2015 18:25,B801,42.4,2015-12-09 18:25:00
12/9/2015,18:30:00,12/9/2015 18:30,B801,41.8,2015-12-09 18:30:00
12/9/2015,18:35:00,12/9/2015 18:35,B801,42.7,2015-12-09 18:35:00
12/9/2015,18:40:00,12/9/2015 18:40,B801,40.2,2015-12-09 18:40:00
12/9/2015,18:45:00,12/9/2015 18:45,B801,41.1,2015-12-09 18:45:00
12/9/2015,18:50:00,12/9/2015 18:50,B801,40.9,2015-12-09 18:50:00
12/9/2015,18:55:00,12/9/2015 18:55,B801,39.9,2015-12-09 18:55:00
12/9/2015,19:00:00,12/9/2015 19:00,B801,38.9,2015-12-09 19:00:00
12/9/2015,19:05:00,12/9/2015 19:05,B801,41,2015-12-09 19:05:00
12/9/2015,19:10:00,12/9/2015 19:10,B801,43.8,2015-12-09 19:10:00
12/9/2015,19:15:00,12/9/2015 19:15,B801,46,2015-12-09 19:15:00
12/9/2015,19:20:00,12/9/2015 19:20,B801,45.8,2015-12-09 19:20:00
12/9/2015,19:25:00,12/9/2015 19:25,B801,45.5,2015-12-09 19:25:00
12/9/2015,19:30:00,12/9/2015 19:30,B801,48.1,2015-12-09 19:30:00
12/9/2015,19:35:00,12/9/2015 19:35,B801,44.8,2015-12-09 19:35:00
12/9/2015,19:40:00,12/9/2015 19:40,B801,44.8,2015-12-09 19:40:00
12/9/2015,19:45:00,12/9/2015 19:45,B801,44.3,2015-12-09 19:45:00
12/9/2015,19:50:00,12/9/2015 19:50,B801,42.8,2015-12-09 19:50:00
12/9/2015,19:55:00,12/9/2015 19:55,B801,41.9,2015-12-09 19:55:00
12/9/2015,20:00:00,12/9/2015 20:00,B801,43.8,2015-12-09 20:00:00
12/9/2015,20:05:00,12/9/2015 20:05,B801,42.7,2015-12-09 20:05:00
12/9/2015,20:10:00,12/9/2015 20:10,B801,41.9,2015-12-09 20:10:00
12/9/2015,20:15:00,12/9/2015 20:15,B801,39.7,2015-12-09 20:15:00
12/9/2015,20:20:00,12/9/2015 20:20,B801,40.6,2015-12-09 20:20:00
12/9/2015,20:25:00,12/9/2015 20:25,B801,39,2015-12-09 20:25:00
12/9/2015,20:30:00,12/9/2015 20:30,B801,38.7,2015-12-09 20:30:00
12/9/2015,20:35:00,12/9/2015 20:35,B801,37.6,2015-12-09 20:35:00
12/9/2015,20:40:00,12/9/2015 20:40,B801,38.6,2015-12-09 20:40:00
12/9/2015,20:45:00,12/9/2015 20:45,B801,36.5,2015-12-09 20:45:00
12/9/2015,20:50:00,12/9/2015 20:50,B801,37.5,2015-12-09 20:50:00
12/9/2015,20:55:00,12/9/2015 20:55,B801,36.7,2015-12-09 20:55:00
12/9/2015,21:00:00,12/9/2015 21:00,B801,39,2015-12-09 21:00:00
12/9/2015,21:05:00,12/9/2015 21:05,B801,38.7,2015-12-09 21:05:00
12/9/2015,21:10:00,12/9/2015 21:10,B801,38.5,2015-12-09 21:10:00
12/9/2015,21:15:00,12/9/2015 21:15,B801,38.2,2015-12-09 21:15:00
12/9/2015,21:20:00,12/9/2015 21:20,B801,37.1,2015-12-09 21:20:00
12/9/2015,21:25:00,12/9/2015 21:25,B801,38.5,2015-12-09 21:25:00
12/9/2015,21:30:00,12/9/2015 21:30,B801,38.9,2015-12-09 21:30:00
12/9/2015,21:35:00,12/9/2015 21:35,B801,38.6,2015-12-09 21:35:00
12/9/2015,21:40:00,12/9/2015 21:40,B801,39.1,2015-12-09 21:40:00
12/9/2015,21:45:00,12/9/2015 21:45,B801,38.5,2015-12-09 21:45:00
12/9/2015,21:50:00,12/9/2015 21:50,B801,35.5,2015-12-09 21:50:00
12/9/2015,21:55:00,12/9/2015 21:55,B801,35.6,2015-12-09 21:55:00
12/9/2015,22:00:00,12/9/2015 22:00,B801,36.3,2015-12-09 22:00:00
12/9/2015,22:05:00,12/9/2015 22:05,B801,38.1,2015-12-09 22:05:00
12/9/2015,22:10:00,12/9/2015 22:10,B801,36.1,2015-12-09 22:10:00
12/9/2015,22:15:00,12/9/2015 22:15,B801,36.5,2015-12-09 22:15:00
