DateTime,RelTime,TPM1,TPM2.5,TPM10,PM1,PM2.5,PM10,CO2,TempC,Humidity,NO,CO,NO2,O3,X
2015-12-13 20:57:00,59455,93,131,193,61,87,128,958.5,12.29,74.89,23.96,96.71,-29.73,1833.08,NA
2015-12-13 20:58:00,118310,97,135,190,63,89,126,933.58,12.42,74,21.35,95.75,-27.19,1821.87,NA
2015-12-13 20:59:00,177158,94,131,187,62,86,123,905.93,12.46,73.8,21.02,102.95,-9.28,1782.39,NA
2015-12-13 21:00:00,236006,94,133,194,62,88,128,890.52,12.45,73.73,17.38,97.67,-27.45,1769.18,NA
2015-12-13 21:01:00,294853,94,135,195,62,88,129,891.31,12.43,73.84,21.69,101.03,-25.4,1622.64,NA
2015-12-13 21:02:00,353700,96,136,200,63,90,132,885.96,12.44,73.93,20.03,102.95,-19.52,1547.59,NA
2015-12-13 21:03:00,412548,93,134,195,61,88,129,888.05,12.43,74.01,21.02,100.07,-16.45,1590.29,NA
2015-12-13 21:04:00,471395,95,135,194,62,89,128,884.05,12.43,74.11,19.37,100.07,-27.96,1605.98,NA
2015-12-13 21:07:00,647938,93,132,188,61,87,124,876.23,12.48,73.72,20.03,99.59,-12.61,1942.41,NA
2015-12-13 21:08:00,706785,91,130,193,60,86,127,884.23,12.53,73.49,20.36,94.31,-31.29,2323.58,NA
2015-12-13 21:09:00,765633,93,130,197,61,85,130,875.02,12.53,73.61,19.7,98.15,-21.05,2106.43,NA
2015-12-13 21:10:00,824480,96,137,202,63,90,134,877.67,12.53,73.66,24.34,102.47,-14.4,1864.17,NA
2015-12-13 21:11:00,883328,100,142,201,66,93,133,874.51,12.52,73.79,23.67,102.95,-28.73,1728.53,NA
2015-12-13 21:12:00,942176,100,140,203,65,93,139,881.07,12.48,73.92,18.37,96.71,-16.96,1632.57,NA
2015-12-13 21:13:00,1001023,98,136,204,64,89,138,880.98,12.48,73.83,18.7,93.83,-20.8,1605.22,NA
2015-12-13 21:14:00,1059870,100,139,191,66,91,128,869.66,12.49,73.84,21.02,100.55,-30.52,1601.41,NA
2015-12-13 21:16:00,1177565,103,148,217,67,97,145,876.23,12.43,74.03,22.35,95.27,-9.54,1775.42,NA
2015-12-13 21:17:00,1236413,96,138,203,64,91,134,877.86,12.41,74.19,21.35,96.23,-13.89,1709.42,NA
2015-12-13 21:18:00,1295260,103,147,206,68,96,136,870.5,12.44,73.87,20.03,95.75,-8.77,1633.95,NA
2015-12-13 21:19:00,1354108,105,149,209,69,98,138,886.24,12.44,73.77,17.38,94.31,-19.52,1561.26,NA
2015-12-13 21:20:00,1412955,106,150,212,70,99,140,869.62,12.42,73.63,21.02,93.83,-23.36,1488.71,NA
2015-12-13 21:21:00,1471803,106,152,224,69,99,146,869.29,12.44,73.77,24.01,99.59,-24.38,1456.09,NA
2015-12-13 21:22:00,1530650,109,153,226,71,101,149,880.28,12.4,73.78,20.36,93.83,-22.84,1446.43,NA
2015-12-13 21:23:00,1589497,112,158,229,74,104,151,881.21,12.33,73.89,19.7,96.71,-16.96,1398.71,NA
2015-12-13 21:24:00,1648344,115,164,239,76,108,158,875.76,12.26,74.15,19.03,92.87,-12.61,1414.26,NA
2015-12-13 21:25:00,1707192,111,156,233,73,103,154,872.78,12.26,74.16,20.36,97.67,-29.24,1403.99,NA
2015-12-13 21:27:00,1824887,109,155,235,71,102,156,882,12.23,74.07,18.04,89.51,-24.63,1347.16,NA
2015-12-13 21:28:00,1883743,115,161,239,75,106,158,886.7,12.25,74.08,21.02,98.63,-16.7,1300.58,NA
2015-12-13 21:29:00,1942590,113,161,236,74,106,156,885.17,12.26,74.06,19.37,98.15,-27.45,1317.22,NA
2015-12-13 21:30:00,2001438,113,159,236,74,104,156,883.12,12.29,74.1,23.34,98.15,-31.54,1319.69,NA
2015-12-13 21:31:00,2060285,115,162,240,75,107,159,886.1,12.29,74.13,23.34,96.71,-15.17,1306.69,NA
2015-12-13 21:32:00,2119132,112,158,238,74,104,157,889.35,12.23,74.23,21.02,90.95,-27.45,1317.75,NA
2015-12-13 21:33:00,2177980,115,165,232,76,109,154,889.82,12.22,74.54,24.67,104.87,-22.84,1298.23,NA
2015-12-13 21:34:00,2236828,115,160,241,75,106,160,893.03,12.22,74.42,18.7,97.19,-23.36,1283.23,NA
2015-12-13 21:34:00,2295676,116,164,231,76,108,153,891.22,12.29,74.09,16.71,82.78,-18.75,1267.91,NA
2015-12-13 21:35:00,2354523,113,161,230,74,106,152,888.75,12.3,73.84,22.68,94.79,-28.22,1285.27,NA
2015-12-13 21:36:00,2413371,115,162,236,76,107,156,889.68,12.28,73.73,19.37,96.71,-29.24,1272.61,NA
2015-12-13 21:37:00,2472218,109,154,228,71,101,151,889.91,12.28,73.79,19.03,91.43,-21.82,1240.99,NA
2015-12-13 21:38:00,2531065,116,163,233,76,108,154,888.14,12.3,73.32,19.03,88.55,-21.05,1209.36,NA
2015-12-13 21:39:00,2589914,114,160,231,75,106,153,888.8,12.32,73.3,13.07,86.63,-17.73,1215.4,NA
2015-12-13 21:40:00,2648761,115,161,237,75,106,156,888.7,12.28,73.27,22.02,95.75,-23.61,1208.99,NA
2015-12-13 21:41:00,2707609,112,158,235,73,104,155,890.75,12.29,73.27,18.7,89.99,-29.24,1226.37,NA
2015-12-13 21:42:00,2766456,111,158,226,73,104,149,892.52,12.31,73.25,21.02,97.19,-22.33,1225.99,NA
2015-12-13 21:43:00,2825304,107,153,232,70,101,153,889.68,12.32,73.6,21.35,95.75,-29.5,1231.48,NA
2015-12-13 21:44:00,2884152,109,153,233,72,101,154,889.63,12.36,73.28,17.71,86.63,-14.4,1198.85,NA
2015-12-13 21:45:00,2943000,112,159,233,74,105,154,886.47,12.37,73.21,19.37,92.87,-19.26,1204.57,NA
2015-12-13 21:46:00,3001847,107,153,224,70,101,148,883.86,12.4,73.28,19.03,88.07,-21.31,1218.67,NA
2015-12-13 21:47:00,3060695,113,158,228,74,104,151,880.18,12.41,73.23,20.03,96.71,-30.26,1217.92,NA
2015-12-13 21:48:00,3119542,112,157,230,73,104,152,887.63,12.41,73.27,15.72,86.15,-31.29,1211.57,NA
2015-12-13 21:49:00,3178389,110,157,241,72,104,159,887.31,12.42,72.82,9.42,81.34,-24.63,1194.76,NA
2015-12-13 21:50:00,3237238,110,155,227,72,102,150,879.49,12.39,72.25,9.09,79.9,-20.29,1178.25,NA
2015-12-13 21:51:00,3296085,115,164,240,75,108,159,882.93,12.37,72.34,18.04,90.47,-28.47,1174.77,NA
2015-12-13 21:52:00,3354933,111,157,225,73,104,149,886,12.35,72.8,19.37,89.51,-18.49,1175.04,NA
2015-12-13 21:53:00,3413780,108,152,225,71,100,148,885.35,12.36,72.73,13.07,82.3,-21.31,1177.68,NA
2015-12-13 21:54:00,3472628,114,157,242,75,103,160,886.05,12.35,72.37,15.39,87.59,-36.4,1195.6,NA
2015-12-13 21:55:00,3531475,112,159,233,73,105,154,884.75,12.35,72.61,20.36,97.67,-20.03,1159.47,NA
2015-12-13 21:56:00,3590332,111,155,234,73,102,154,884.51,12.34,72.78,19.03,84.22,-22.33,1159.77,NA
2015-12-13 21:57:00,3649179,111,158,226,73,105,149,886.75,12.31,72.88,19.37,90.95,-15.94,1212.72,NA
2015-12-13 21:58:00,3708026,114,161,230,74,106,153,887.4,12.28,72.84,16.38,90.47,-30.01,1195.46,NA
2015-12-13 21:59:00,3766874,113,161,230,74,106,152,893.26,12.25,73.1,20.69,93.35,-31.8,1163.46,NA
2015-12-13 22:00:00,3825721,112,158,226,73,104,150,891.5,12.26,73.12,13.07,85.19,-8.77,1125.24,NA
