boxID,date,time,elapsedtime,  shinyei, CO2, T (C), RH, sharp
2e7,2015/12/9,1:28:9,64932,133.80,327.90,cserror,cserror,357.20
2e7,2015/12/9,1:29:10,124937,150.40,307.65,cserror,cserror,319.80
2e7,2015/12/9,1:30:10,184942,105.40,283.35,cserror,cserror,300.00
2e7,2015/12/9,1:31:10,244946,129.40,254.10,cserror,cserror,313.40
2e7,2015/12/9,1:32:10,304952,119.00,254.10,cserror,cserror,303.60
2e7,2015/12/9,1:33:10,364957,116.00,234.30,cserror,cserror,310.40
2e7,2015/12/9,1:34:10,424962,101.60,227.10,cserror,cserror,302.80
2e7,2015/12/9,1:35:10,484967,106.60,236.10,cserror,cserror,291.00
2e7,2015/12/9,1:36:10,544972,137.00,243.75,cserror,cserror,292.00
2e7,2015/12/9,1:37:10,604977,139.60,227.10,cserror,cserror,302.20
2e7,2015/12/9,1:38:10,664982,117.00,234.30,cserror,cserror,282.80
2e7,2015/12/9,1:39:10,724987,139.80,228.90,cserror,cserror,294.40
2e7,2015/12/9,1:40:10,784992,132.40,210.00,cserror,cserror,304.60
2e7,2015/12/9,1:41:10,844997,138.00,225.75,cserror,cserror,290.20
2e7,2015/12/9,1:42:10,905001,143.80,202.80,cserror,cserror,310.40
2e7,2015/12/9,1:43:10,965007,113.40,220.80,cserror,cserror,280.00
2e7,2015/12/9,1:44:10,1025012,119.60,208.65,cserror,cserror,290.80
2e7,2015/12/9,1:45:10,1085017,128.80,202.35,cserror,cserror,300.20
2e7,2015/12/9,1:46:10,1145022,118.20,215.40,cserror,cserror,282.80
2e7,2015/12/9,1:47:10,1205027,166.20,220.35,cserror,cserror,298.40
2e7,2015/12/9,1:48:10,1265033,127.80,214.50,cserror,cserror,285.60
2e7,2015/12/9,1:49:10,1325038,127.40,200.55,cserror,cserror,296.20
2e7,2015/12/9,1:50:10,1385042,140.60,207.30,cserror,cserror,295.60
2e7,2015/12/9,1:51:10,1445048,166.40,200.55,cserror,cserror,311.60
2e7,2015/12/9,1:52:10,1505053,166.60,221.25,cserror,cserror,293.40
2e7,2015/12/9,1:53:11,1565058,145.60,225.75,cserror,cserror,281.20
2e7,2015/12/9,1:54:11,1625063,141.00,205.95,cserror,cserror,294.60
2e7,2015/12/9,1:55:11,1685068,140.40,207.75,cserror,cserror,292.40
2e7,2015/12/9,1:56:11,1745073,139.40,218.10,cserror,cserror,283.00
2e7,2015/12/9,1:57:11,1805078,136.00,212.25,cserror,cserror,285.80
2e7,2015/12/9,1:58:11,1865083,155.00,234.30,cserror,cserror,274.80
2e7,2015/12/9,1:59:11,1925088,118.60,201.45,cserror,cserror,287.00
2e7,2015/12/9,2:0:11,1985093,103.20,205.50,cserror,cserror,277.00
2e7,2015/12/9,2:1:11,2045097,126.80,210.90,cserror,cserror,282.80
2e7,2015/12/9,2:2:11,2105103,99.40,204.60,cserror,cserror,277.20
2e7,2015/12/9,2:3:11,2165108,102.60,201.45,cserror,cserror,280.60
2e7,2015/12/9,2:4:11,2225113,132.40,212.25,cserror,cserror,284.40
2e7,2015/12/9,2:5:11,2285129,146.40,208.20,cserror,cserror,293.60
2e7,2015/12/9,2:6:11,2345123,141.60,210.90,cserror,cserror,289.20
